@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
29511,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
29512,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
29513,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
29514,'2020/10/01 16:11:33:331',179,0,0,0,0,0,0,0,0,30,0
29515,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29516,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29517,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29518,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29519,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29520,'2020/10/01 16:11:33:435',179,0,0,0,0,0,0,0,0,30,0
29521,'2020/10/01 16:11:33:539',179,0,0,0,0,0,0,0,0,30,0
29522,'2020/10/01 16:11:33:539',179,0,0,0,0,0,0,0,0,30,0
29523,'2020/10/01 16:11:33:540',179,0,0,0,0,0,0,0,0,30,0
29524,'2020/10/01 16:11:33:540',179,0,0,0,0,0,0,0,0,30,0
29525,'2020/10/01 16:11:33:540',179,0,0,0,0,0,0,0,0,30,0
29526,'2020/10/01 16:11:33:540',179,0,0,0,0,0,0,0,0,30,0
29527,'2020/10/01 16:11:33:632',179,0,0,0,0,0,0,0,0,30,0
29528,'2020/10/01 16:11:33:633',179,0,0,0,0,0,0,0,0,30,0
29529,'2020/10/01 16:11:33:633',179,0,0,0,0,0,0,0,0,30,0
29530,'2020/10/01 16:11:33:633',179,0,0,0,0,0,0,0,0,30,0
29531,'2020/10/01 16:11:33:633',179,0,0,0,0,0,0,0,0,30,0
29532,'2020/10/01 16:11:33:633',179,0,0,0,0,0,0,0,0,30,0
29533,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29534,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29535,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29536,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29537,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29538,'2020/10/01 16:11:33:737',179,0,0,0,0,0,0,0,0,30,0
29539,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29540,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29541,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29542,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29543,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29544,'2020/10/01 16:11:33:843',179,0,0,0,0,0,0,0,0,30,0
29545,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29546,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29547,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29548,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29549,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29550,'2020/10/01 16:11:33:934',179,0,0,0,0,0,0,0,0,30,0
29551,'2020/10/01 16:11:34:040',179,0,0,0,0,0,0,0,0,30,0
29552,'2020/10/01 16:11:34:041',179,0,0,0,0,0,0,0,0,30,0
29553,'2020/10/01 16:11:34:041',179,0,0,0,0,0,0,0,0,30,0
29554,'2020/10/01 16:11:34:041',179,0,0,0,0,0,0,0,0,30,0
29555,'2020/10/01 16:11:34:041',179,0,0,0,0,0,0,0,0,30,0
29556,'2020/10/01 16:11:34:041',179,0,0,0,0,0,0,0,0,30,0
29557,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29558,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29559,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29560,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29561,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29562,'2020/10/01 16:11:34:133',179,0,0,0,0,0,0,0,0,30,0
29563,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29564,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29565,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29566,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29567,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29568,'2020/10/01 16:11:34:237',179,0,0,0,0,0,0,0,0,80,0
29569,'2020/10/01 16:11:34:342',179,0,0,0,0,0,0,0,0,80,0
29570,'2020/10/01 16:11:34:342',179,0,0,0,0,0,0,0,0,80,0
29571,'2020/10/01 16:11:34:342',179,0,0,0,0,0,0,0,0,80,0
29572,'2020/10/01 16:11:34:343',179,0,0,0,0,0,0,0,0,80,0
29573,'2020/10/01 16:11:34:343',179,0,0,0,0,0,0,0,0,80,0
29574,'2020/10/01 16:11:34:343',179,0,0,0,0,0,0,0,0,80,0
29575,'2020/10/01 16:11:34:433',179,0,0,0,0,0,0,0,0,80,0
29576,'2020/10/01 16:11:34:433',179,0,0,0,0,0,0,0,0,80,0
29577,'2020/10/01 16:11:34:434',179,0,0,0,0,0,0,0,0,80,0
29578,'2020/10/01 16:11:34:434',179,0,0,0,0,0,0,0,0,80,0
29579,'2020/10/01 16:11:34:434',179,0,0,0,0,0,0,0,0,80,0
29580,'2020/10/01 16:11:34:434',179,0,0,0,0,0,0,0,0,80,0
29581,'2020/10/01 16:11:34:538',179,0,0,0,0,0,0,0,0,80,0
29582,'2020/10/01 16:11:34:538',179,0,0,0,0,0,0,0,0,80,0
29583,'2020/10/01 16:11:34:538',179,0,0,0,0,0,0,0,0,80,0
29584,'2020/10/01 16:11:34:538',179,0,0,0,0,0,0,0,0,80,0
29585,'2020/10/01 16:11:34:538',179,0,0,0,0,0,0,0,0,80,0
