@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
338,'2020/10/01 16:53:51:263',3,0,0,0,0,0,0,1
339,'2020/10/01 16:53:51:263',3,0,0,0,0,0,0,1
340,'2020/10/01 16:53:51:263',3,0,0,0,0,0,0,1
341,'2020/10/01 16:53:51:263',3,0,0,0,0,0,0,1
342,'2020/10/01 16:53:51:263',3,0,0,0,0,0,0,1
343,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
344,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
345,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
346,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
347,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
348,'2020/10/01 16:53:51:364',3,0,0,0,0,0,0,1
349,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
350,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
351,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
352,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
353,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
354,'2020/10/01 16:53:51:457',3,0,0,0,0,0,0,1
355,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
356,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
357,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
358,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
359,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
360,'2020/10/01 16:53:51:562',3,0,0,0,0,0,0,1
361,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
362,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
363,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
364,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
365,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
366,'2020/10/01 16:53:51:655',3,0,0,0,0,0,0,1
367,'2020/10/01 16:53:51:758',3,0,0,0,0,0,0,1
368,'2020/10/01 16:53:51:758',3,0,0,0,0,0,0,1
369,'2020/10/01 16:53:51:759',3,0,0,0,0,0,0,1
370,'2020/10/01 16:53:51:759',3,0,0,0,0,0,0,1
371,'2020/10/01 16:53:51:759',3,0,0,0,0,0,0,1
372,'2020/10/01 16:53:51:759',3,0,0,0,0,0,0,1
373,'2020/10/01 16:53:51:863',3,0,0,0,0,0,0,1
374,'2020/10/01 16:53:51:863',3,0,0,0,0,0,0,1
375,'2020/10/01 16:53:51:863',3,0,0,0,0,0,0,1
376,'2020/10/01 16:53:51:863',3,0,0,0,0,0,0,1
377,'2020/10/01 16:53:51:863',3,0,0,0,0,0,0,1
